"Time","value","curve"
159,0,"2.5% quantile"
160,0,"2.5% quantile"
161,0,"2.5% quantile"
162,0,"2.5% quantile"
163,0,"2.5% quantile"
164,0,"2.5% quantile"
165,0,"2.5% quantile"
166,0,"2.5% quantile"
167,0,"2.5% quantile"
168,0,"2.5% quantile"
169,0,"2.5% quantile"
170,0,"2.5% quantile"
171,0,"2.5% quantile"
172,0,"2.5% quantile"
173,0,"2.5% quantile"
174,0,"2.5% quantile"
175,0,"2.5% quantile"
176,0,"2.5% quantile"
177,0,"2.5% quantile"
178,0,"2.5% quantile"
179,0,"2.5% quantile"
180,0,"2.5% quantile"
181,0,"2.5% quantile"
182,0,"2.5% quantile"
183,0,"2.5% quantile"
184,0,"2.5% quantile"
185,0,"2.5% quantile"
186,0,"2.5% quantile"
187,0,"2.5% quantile"
188,0,"2.5% quantile"
189,0,"2.5% quantile"
190,0,"2.5% quantile"
191,0,"2.5% quantile"
192,0,"2.5% quantile"
193,0,"2.5% quantile"
194,0,"2.5% quantile"
195,0,"2.5% quantile"
196,0,"2.5% quantile"
197,0,"2.5% quantile"
198,0,"2.5% quantile"
199,0,"2.5% quantile"
200,0,"2.5% quantile"
201,0,"2.5% quantile"
202,0,"2.5% quantile"
203,0,"2.5% quantile"
204,0,"2.5% quantile"
205,0,"2.5% quantile"
206,0,"2.5% quantile"
207,0,"2.5% quantile"
208,0,"2.5% quantile"
209,0,"2.5% quantile"
210,0,"2.5% quantile"
211,0,"2.5% quantile"
212,0,"2.5% quantile"
213,0,"2.5% quantile"
214,0,"2.5% quantile"
215,0,"2.5% quantile"
216,0,"2.5% quantile"
217,0,"2.5% quantile"
218,0,"2.5% quantile"
219,0,"2.5% quantile"
220,0,"2.5% quantile"
221,0,"2.5% quantile"
222,0,"2.5% quantile"
223,0,"2.5% quantile"
224,0,"2.5% quantile"
225,0,"2.5% quantile"
226,0,"2.5% quantile"
227,0,"2.5% quantile"
228,0,"2.5% quantile"
229,0,"2.5% quantile"
230,0,"2.5% quantile"
231,0,"2.5% quantile"
232,0,"2.5% quantile"
233,0,"2.5% quantile"
234,0,"2.5% quantile"
235,0,"2.5% quantile"
236,0,"2.5% quantile"
237,0,"2.5% quantile"
238,0,"2.5% quantile"
239,0,"2.5% quantile"
240,0,"2.5% quantile"
241,0,"2.5% quantile"
242,0,"2.5% quantile"
243,0,"2.5% quantile"
244,0,"2.5% quantile"
245,0,"2.5% quantile"
246,0,"2.5% quantile"
247,0,"2.5% quantile"
248,0,"2.5% quantile"
249,0,"2.5% quantile"
250,0,"2.5% quantile"
0,21,"97,.5% quantile"
1,24.55,"97,.5% quantile"
2,26.325,"97,.5% quantile"
3,30.325,"97,.5% quantile"
4,31.1,"97,.5% quantile"
5,37.1,"97,.5% quantile"
6,40.775,"97,.5% quantile"
7,44.325,"97,.5% quantile"
8,49.775,"97,.5% quantile"
9,60.1,"97,.5% quantile"
10,63.65,"97,.5% quantile"
11,74.975,"97,.5% quantile"
12,90.4,"97,.5% quantile"
13,91.375,"97,.5% quantile"
14,94.825,"97,.5% quantile"
15,93.425,"97,.5% quantile"
16,100.5,"97,.5% quantile"
17,107.05,"97,.5% quantile"
18,113.075,"97,.5% quantile"
19,112.55,"97,.5% quantile"
20,115.775,"97,.5% quantile"
21,124.425,"97,.5% quantile"
22,139.95,"97,.5% quantile"
23,145.75,"97,.5% quantile"
24,146.525,"97,.5% quantile"
25,144.775,"97,.5% quantile"
26,145.3,"97,.5% quantile"
27,143.625,"97,.5% quantile"
28,154.075,"97,.5% quantile"
29,148.3,"97,.5% quantile"
30,135,"97,.5% quantile"
31,144.075,"97,.5% quantile"
32,145.85,"97,.5% quantile"
33,144.4,"97,.5% quantile"
34,139.425,"97,.5% quantile"
35,136.875,"97,.5% quantile"
36,138.85,"97,.5% quantile"
37,142.625,"97,.5% quantile"
38,131.55,"97,.5% quantile"
39,139.875,"97,.5% quantile"
40,139.275,"97,.5% quantile"
41,128.3,"97,.5% quantile"
42,131.15,"97,.5% quantile"
43,139.9,"97,.5% quantile"
44,128.15,"97,.5% quantile"
45,122.525,"97,.5% quantile"
46,120.775,"97,.5% quantile"
47,115.875,"97,.5% quantile"
48,110.425,"97,.5% quantile"
49,105,"97,.5% quantile"
50,98.2,"97,.5% quantile"
51,92.775,"97,.5% quantile"
52,93.1,"97,.5% quantile"
53,82.65,"97,.5% quantile"
54,79.1,"97,.5% quantile"
55,78,"97,.5% quantile"
56,78.2,"97,.5% quantile"
57,77.85,"97,.5% quantile"
58,64,"97,.5% quantile"
59,60,"97,.5% quantile"
60,62.975,"97,.5% quantile"
61,57.325,"97,.5% quantile"
62,54.775,"97,.5% quantile"
63,51.55,"97,.5% quantile"
64,49.775,"97,.5% quantile"
65,46.775,"97,.5% quantile"
66,42.775,"97,.5% quantile"
67,36,"97,.5% quantile"
68,33.775,"97,.5% quantile"
69,40.65,"97,.5% quantile"
70,33.775,"97,.5% quantile"
71,32.775,"97,.5% quantile"
72,34.1,"97,.5% quantile"
73,30.875,"97,.5% quantile"
74,30.2,"97,.5% quantile"
75,25.875,"97,.5% quantile"
76,25.325,"97,.5% quantile"
77,24.325,"97,.5% quantile"
78,22.875,"97,.5% quantile"
79,23.325,"97,.5% quantile"
80,23.975,"97,.5% quantile"
81,20.775,"97,.5% quantile"
82,20.65,"97,.5% quantile"
83,17.55,"97,.5% quantile"
84,18.775,"97,.5% quantile"
85,19.425,"97,.5% quantile"
86,19.65,"97,.5% quantile"
87,17.65,"97,.5% quantile"
88,15.2,"97,.5% quantile"
89,17.2,"97,.5% quantile"
90,12.55,"97,.5% quantile"
91,13.775,"97,.5% quantile"
92,10.775,"97,.5% quantile"
93,9.55,"97,.5% quantile"
